stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code
IDFM:463320,,Varenne,,2.3149776470363417,48.85662420264694,1.0,,0,IDFM:71232,Europe/Paris,,2,
IDFM:24443,,Cité - Parvis Notre-Dame,,2.3477912061353488,48.854918910091854,1.0,,0,IDFM:71223,Europe/Paris,,2,
IDFM:463315,,Ségur,,2.307137849403385,48.84716726999503,1.0,,0,IDFM:71157,Europe/Paris,,2,
IDFM:463314,,Sèvres-Lecourbe,,2.309529610430393,48.84564768265073,1.0,,0,IDFM:71144,Europe/Paris,,2,
IDFM:21699,,Pont National - Quai de Bercy,,2.389155253906964,48.82813843557201,1.0,,0,IDFM:426134,Europe/Paris,,1,
IDFM:24441,,Italie - Tolbiac,,2.357328527336994,48.82531848420913,1.0,,0,IDFM:71001,Europe/Paris,,1,
IDFM:24440,,Censier - Daubenton,,2.351648563012487,48.8406490689115,1.0,,0,IDFM:71100,Europe/Paris,,1,
IDFM:479499,,Sénat,,2.3375448323144865,48.8493585624015,1.0,,0,IDFM:71179,Europe/Paris,,1,
IDFM:479699,,Musée du Luxembourg,,2.332049535492463,48.8485635540486,1.0,,0,IDFM:71173,Europe/Paris,,1,
IDFM:41807,,Charonne - Keller,,2.377754981334872,48.85428705081964,1.0,,0,IDFM:71709,Europe/Paris,,1,
IDFM:479982,,Guynemer - Vavin,,2.333412182882052,48.84430818189188,1.0,,0,IDFM:71142,Europe/Paris,,1,
IDFM:426998,,Bobillot - Tolbiac,,2.351002477834933,48.82578797074836,1.0,,0,IDFM:70676,Europe/Paris,,2,
IDFM:426999,,Convention - Lecourbe,,2.292565975701451,48.83892022813398,1.0,,0,IDFM:71089,Europe/Paris,,2,
IDFM:426997,,Italie - Tolbiac,,2.3566230200071554,48.82619607874819,1.0,,0,IDFM:71001,Europe/Paris,,1,
IDFM:426996,,Italie - Tolbiac,,2.356624351768289,48.82608816087787,1.0,,0,IDFM:71001,Europe/Paris,,2,
IDFM:460490,,Porte de Vanves - Place Simard,,2.30461561671056,48.82626472576811,1.0,,0,IDFM:71006,Europe/Paris,,1,
IDFM:460491,,Porte de Vanves,,2.304877952515242,48.82702173001664,1.0,,0,IDFM:71006,Europe/Paris,,1,
IDFM:39457,,Gare Montparnasse,,2.3204338337938624,48.841653984472536,1.0,,0,IDFM:71139,Europe/Paris,,1,
IDFM:460488,,Porte de Vanves,,2.305428527312752,48.82659322672426,1.0,,0,IDFM:71006,Europe/Paris,,1,
IDFM:39458,,Armorique - Musée Postal,,2.316462575354042,48.841091738580126,1.0,,0,IDFM:415816,Europe/Paris,,2,
IDFM:460489,,Porte de Vanves,,2.305023942802538,48.82731037992456,1.0,,0,IDFM:71006,Europe/Paris,,1,
IDFM:421444,,Carrefour Albert Legris,,2.293050246301673,48.8253155218852,2.0,,0,IDFM:70672,Europe/Paris,,1,
IDFM:463998,,Arago - Saint Jacques,,2.3363832841176237,48.8346295291587,1.0,,0,IDFM:464000,Europe/Paris,,2,
IDFM:463955,,Gare de Lyon - Diderot,,2.3717812787155874,48.84560404407179,1.0,,0,IDFM:73626,Europe/Paris,,1,
IDFM:463956,,Lyon - Ledru Rollin,,2.371198062541295,48.8487667168741,1.0,,0,IDFM:71666,Europe/Paris,,1,
IDFM:463959,,Bastille - Henri IV,,2.366399817599958,48.85224888647196,1.0,,0,IDFM:463564,Europe/Paris,,1,
IDFM:463966,,Corvisart,,2.348921947696598,48.82986881642772,1.0,,0,IDFM:71013,Europe/Paris,,1,
IDFM:463968,,Corvisart,,2.347628589894199,48.8298078061236,1.0,,0,IDFM:71013,Europe/Paris,,1,
IDFM:463969,,Glacière - Auguste Blanqui,,2.3438638080696497,48.83128916384723,1.0,,0,IDFM:71026,Europe/Paris,,1,
IDFM:463963,,Place d'Italie - Choisy,,2.356366198561423,48.830448733777615,1.0,,0,IDFM:71033,Europe/Paris,,1,
IDFM:463965,,Glacière - Auguste Blanqui,,2.343404859084921,48.83095387731193,1.0,,0,IDFM:71026,Europe/Paris,,1,
IDFM:463975,,Vercingétorix - Paturle,,2.306590528826076,48.82935206860788,1.0,,0,IDFM:482821,Europe/Paris,,1,
IDFM:40333,,Porte d'Orléans,,2.325602436164596,48.82129442706952,1.0,,0,IDFM:70657,Europe/Paris,,1,
IDFM:40332,,Porte d'Orléans,,2.324507779614225,48.82168397645075,1.0,,0,IDFM:70657,Europe/Paris,,2,
IDFM:41817,,Olympiades,,2.36754880146029,48.82719870181788,1.0,,0,IDFM:71557,Europe/Paris,,1,
IDFM:463938,,Vaugirard,,2.3002276648272444,48.83959485363833,1.0,,0,IDFM:71091,Europe/Paris,,1,
IDFM:463937,,Dareau - Saint-Jacques,,2.339079887810008,48.83254892577264,1.0,,0,IDFM:71029,Europe/Paris,,1,
IDFM:463936,,Place d'Italie - Blanqui,,2.35450887794354,48.83082545391446,1.0,,0,IDFM:71033,Europe/Paris,,2,
IDFM:472865,,Paris Austerlitz,,2.3684778860910063,48.84046029638145,1.0,,0,IDFM:71135,Europe/Paris,,0,
IDFM:463308,,Saint-Placide,,2.327054815066312,48.84700665158937,1.0,,0,IDFM:71184,Europe/Paris,,2,
IDFM:39759,,Port Royal,,2.3364511668342867,48.83999913406338,1.0,,0,IDFM:71106,Europe/Paris,,1,
IDFM:39456,,Sèvres-Lecourbe,,2.3113844808014736,48.84490290762441,1.0,,0,IDFM:71144,Europe/Paris,,1,
IDFM:463306,,Saint-Michel,,2.343991799033288,48.85359407756809,1.0,,0,IDFM:73620,Europe/Paris,,2,
IDFM:463307,,Saint-Paul (Le Marais),,2.3609713728017505,48.85527781668134,1.0,,0,IDFM:71222,Europe/Paris,,2,
IDFM:463305,,Saint-Jacques,,2.337096538905496,48.832857226540206,1.0,,0,IDFM:71041,Europe/Paris,,2,
IDFM:463303,,Saint-François-Xavier,,2.314285946180556,48.85129155093847,1.0,,0,IDFM:71204,Europe/Paris,,2,
IDFM:39751,,Alésia - Maine,,2.327964568497812,48.82929420857334,1.0,,0,IDFM:71030,Europe/Paris,,1,
IDFM:39750,,Daumesnil - Ledru Rollin,,2.372818194152708,48.84889213696249,1.0,,0,IDFM:71666,Europe/Paris,,1,
IDFM:40257,,Porte d'Orléans,,2.325555779812386,48.8238484062617,1.0,,0,IDFM:70657,Europe/Paris,,1,
IDFM:39752,,Mouton - Duvernet,,2.3300048286506234,48.83165302284046,1.0,,0,IDFM:73653,Europe/Paris,,1,
IDFM:421409,,Gare de Lyon - Maison de la RATP,,2.3742356739374952,48.84319763147354,1.0,,0,IDFM:73626,Europe/Paris,,1,
IDFM:27589,,Pont Nelson Mandela - Rives de Bercy,,2.4001202641542454,48.822267076168345,2.0,,0,IDFM:70631,Europe/Paris,,1,
IDFM:8189,,Augustin Dumont,,2.306568976759481,48.81663467314458,2.0,,0,IDFM:70566,Europe/Paris,,1,
IDFM:8188,,Augustin Dumont,,2.305297761983604,48.81596174664588,2.0,,0,IDFM:70566,Europe/Paris,,2,
IDFM:8187,,12 février 1934,,2.307483288309923,48.81752137181444,2.0,,0,IDFM:70570,Europe/Paris,,1,
IDFM:463202,,La Motte-Picquet - Grenelle,,2.298684579816939,48.849532805857095,1.0,,0,IDFM:71199,Europe/Paris,,2,
IDFM:463201,,La Motte-Picquet - Grenelle,,2.298488389923641,48.84967105681514,1.0,,0,IDFM:71199,Europe/Paris,,2,
IDFM:8177,,Pont de la Vallée,,2.304196927447102,48.82497617592906,1.0,,0,IDFM:70978,Europe/Paris,,1,
IDFM:463231,,Pont Marie (Cité des Arts),,2.357430292176306,48.85353209666315,1.0,,0,IDFM:71217,Europe/Paris,,2,
IDFM:22369,,Sully - Morland,,2.3617517381263218,48.85120791254347,1.0,,0,IDFM:71201,Europe/Paris,,2,
IDFM:8160,,Mairie,,2.3508966712404398,48.81568735739247,2.0,,0,IDFM:70532,Europe/Paris,,1,
IDFM:463229,,Pernety,,2.318323659736018,48.83416372097089,1.0,,0,IDFM:412687,Europe/Paris,,2,
IDFM:463222,,Mairie de Montrouge,,2.319619399123785,48.81845445619,2.0,,0,IDFM:70586,Europe/Paris,,2,
IDFM:463224,,Maison Blanche,,2.358412946155939,48.82214950607496,1.0,,0,IDFM:70645,Europe/Paris,,2,
