route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-871282879_Bala04CLac14-18,Balard,,0,,,2,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583494,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583495,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583496,Place d'Italie,,0,,,1,0
IDFM:C02317,IDFM:10000,IDFM:KOVM-T9:230766-C02317-1141238,Porte de Choisy,,0,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-871282879_CLac05Bala01-1,Balard,,0,,,2,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-2048535819_Lour01CLac02-3,Créteil-Pointe du Lac,,1,,,2,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-2048535819_Pref02Bala02-13,Créteil-Pointe du Lac,,1,,,2,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583497,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583498,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583499,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583500,Place d'Italie,,0,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-2048535819_Echa01CLac06-17,Créteil-Pointe du Lac,,1,,,2,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583513,Place d'Italie,,0,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-2048535819_Bala04CLac14-19,Créteil-Pointe du Lac,,1,,,2,0
IDFM:C02317,IDFM:10000,IDFM:KOVM-T9:230766-C02317-1141237,Porte de Choisy,,0,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-871282879_CLac06Echa01-5,Balard,,0,,,2,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583514,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583515,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583516,Place d'Italie,,0,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-871282879_CLac12CLac16-5,Balard,,0,,,2,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583517,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583518,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583519,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583520,Place d'Italie,,0,,,1,0
IDFM:C02317,IDFM:10000,IDFM:KOVM-T9:230766-C02317-1141236,Porte de Choisy,,0,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-2048535819_CLac09Echa02-4,Créteil-Pointe du Lac,,1,,,2,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-2048535819_Bala01CLac12-18,Créteil-Pointe du Lac,,1,,,2,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583521,Place d'Italie,,0,,,1,0
IDFM:C02245,IDFM:10000,IDFM:RATP:233852-C02245-COU_RATP_059SAM26Samedi10MRG22026_71_49583522,Place d'Italie,,0,,,1,0
