route_id,mode_transport,route_short_name,route_type
IDFM:C00038,Bus,6132,3
IDFM:C01552,Bus,9504,3
IDFM:C00050,Bus,6123,3
IDFM:C01244,Bus,252,3
IDFM:C01700,Bus,6164,3
IDFM:C01701,Bus,6161,3
IDFM:C01702,Bus,6162,3
IDFM:C01805,Bus,6134,3
IDFM:C02745,Bus,363,3
IDFM:C01245,Bus,253,3
IDFM:C01337,Bus,AUDONIE,3
IDFM:C02485,Bus,TàD 6131,3
IDFM:C00098,Bus,4441,3
IDFM:C00105,Bus,4413,3
IDFM:C01563,Bus,9102,3
IDFM:C01564,Bus,9103,3
IDFM:C01292,Bus,340,3
IDFM:C01079,Bus,29,3
IDFM:C01246,Bus,255,3
IDFM:C02473,Bus,4415,3
IDFM:C02474,Bus,Soir,3
IDFM:C00637,Bus,7718,3
IDFM:C01094,Bus,57,3
IDFM:C00661,Bus,7720,3
IDFM:C01237,Bus,238,3
IDFM:C00898,Bus,2315,3
IDFM:C00900,Bus,2306,3
IDFM:C01554,Bus,1116,3
IDFM:C01236,Bus,237,3
IDFM:C00902,Bus,2303,3
IDFM:C01247,Bus,256,3
IDFM:C00909,Bus,2318,3
IDFM:C00912,Bus,2312,3
IDFM:C00914,Bus,2319,3
IDFM:C01235,Bus,235,3
IDFM:C00915,Bus,2313,3
IDFM:C00948,Bus,2317,3
IDFM:C00949,Bus,2311,3
IDFM:C00953,Bus,2302,3
IDFM:C01248,Bus,258,3
IDFM:C00954,Bus,2301,3
IDFM:C01199,Bus,178,3
IDFM:C01785,Bus,1110,3
IDFM:C00955,Bus,2308,3
IDFM:C01249,Bus,261,3
IDFM:C00957,Bus,2307,3
IDFM:C01786,Bus,1112,3
IDFM:C00958,Bus,2304,3
IDFM:C00959,Bus,2309,3
IDFM:C00961,Bus,7709,3
IDFM:C01093,Bus,56,3
IDFM:C01251,Bus,268,3
IDFM:C01080,Bus,30,3
IDFM:C02234,Bus,2314,3
IDFM:C02489,Bus,Soir,3
IDFM:C02490,Bus,Soir,3
IDFM:C00934,Bus,2428,3
IDFM:C00944,Bus,2407,3
IDFM:C00947,Bus,7712,3
IDFM:C02206,Bus,1117,3
IDFM:C01196,Bus,175,3
IDFM:C01252,Bus,269,3
